Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
ZUSD,15 Jul 2016,10.04,10.04,9.99,10.02,6200
ZUSD,18 Jul 2016,10.02,10.02,10.02,10.02,0
ZUSD,19 Jul 2016,10.1,10.1,10.1,10.1,100
ZUSD,20 Jul 2016,10.1,10.1,10.1,10.1,0
ZUSD,21 Jul 2016,10.1,10.1,10.1,10.1,0
ZUSD,22 Jul 2016,10.2,10.2,10.2,10.2,310
ZUSD,25 Jul 2016,0,0,0,0,0
ZUSD,05 Jul 2016,10.25,10.25,10.25,10.25,0
ZUSD,04 Jul 2016,10.25,10.25,10.25,10.25,0
ZUSD,28 Jun 2016,10.35,10.35,10.33,10.33,780
ZUSD,27 Jun 2016,10.28,10.28,10.28,10.28,1000
ZUSD,24 Jun 2016,10.17,10.39,10.17,10.39,10285
ZUSD,23 Jun 2016,10.17,10.17,10.17,10.17,383
ZUSD,17 Jun 2016,10.35,10.35,10.35,10.35,6900
ZUSD,15 Jun 2016,10.42,10.42,10.39,10.39,4057
ZUSD,10 Jun 2016,10.32,10.32,10.32,10.32,3407
ZUSD,01 Jul 2016,10.25,10.25,10.25,10.25,500
ZUSD,30 Jun 2016,10.29,10.29,10.29,10.29,500
ZUSD,29 Jun 2016,10.4,10.4,10.34,10.34,2973
ZUSD,20 Jun 2016,10.35,10.35,10.35,10.35,0
